BUGID,ROLD-DATE,RFIX-DATE,FIXER,INDUCERS
18950,2005-09-21 07:43:01,2009-05-15 15:48:37,Michel Dänzer,Owen W. Taylor;Eric Anholt;Michel Dänzer;
18710,2005-07-01 08:56:12,2009-02-27 16:37:28,Michel Dänzer,Zack Rusin;
97974,2016-07-12 12:25:13,2016-10-05 08:36:21,Olivier Fourdan,Michel Dänzer;
38322,2009-08-01 19:19:19,2011-08-10 11:36:16,Michel Dänzer,Michel Dänzer;Maarten Maathuis;
91072,2014-03-11 16:11:39,2015-06-23 15:05:31,Chris Wilson,Kristian Høgsberg;
58255,2003-11-14 15:54:54,2012-12-14 11:34:15,Peter Hutterer,Kaleb Keithley;
99358,2012-03-21 12:55:09,2017-01-16 22:17:36,Chris Wilson,Keith Packard;
30160,2009-08-28 11:39:42,2010-09-13 12:33:53,Tiago Vignatti,Dave Airlie;
29969,2008-11-05 11:51:06,2010-09-02 10:53:28,Thomas Hellstrom,Adam Jackson;
4947,2003-11-14 16:48:57,2008-01-02 19:27:22,Alan Coopersmith,Adam Jackson;Kaleb Keithley;
4948,2004-04-23 19:54:30,2005-11-05 18:56:50,Alan Coopersmith,Egbert Eich;
64808,2008-05-28 13:33:07,2013-06-11 10:29:25,Dave Airlie,Dave Airlie;Alan Hourihane;
17509,2007-07-12 13:00:32,2009-08-03 19:53:27,Alan Coopersmith,Alan Coopersmith;
2885,2003-11-14 16:49:22,2005-04-15 23:34:39,Roland Mainz,Kaleb Keithley;
55785,2010-12-29 12:03:01,2012-10-09 03:17:49,Lionel Elie Mamane,Daniel Stone;
36146,2011-02-25 11:08:19,2011-04-15 14:06:20,Peter Hutterer,Peter Hutterer;
86288,2003-11-14 15:54:54,2015-01-24 17:06:59,Nikhil Mahale,Keith Packard;Peter Hutterer;Mikhail Gusarov;Kaleb Keithley;
18835,2003-11-14 16:49:22,2008-12-02 09:01:56,Bernhard Rosenkraenzer,Kaleb Keithley;
21457,2008-11-03 17:47:36,2010-12-08 14:52:19,Peter Hutterer,Thomas Jaeger;Peter Hutterer;
44315,2009-08-19 15:42:34,2011-12-30 20:41:25,Julien Cristau,Adam Jackson;
71113,2008-10-07 20:36:45,2014-05-24 20:05:53,Peter Hutterer,Adam Jackson;Gaetan Nadon;
98499,2004-07-31 08:24:14,2016-12-06 14:11:11,Adam Jackson,Keith Packard;Eric Anholt;
24167,2006-06-12 20:19:11,2009-09-27 02:08:10,Michel Dänzer,Michel Dänzer;
81819,2014-07-22 17:55:25,2014-08-04 21:16:34,Boyan Ding,Carlos Garnacho;
92273,2014-03-11 16:11:39,2015-10-07 12:02:38,Jonas Ådahl,Kristian Høgsberg;
87806,2003-11-14 16:48:57,2016-02-10 09:34:34,Olivier Fourdan,Jon TURNEY;Dan Nicholson;Daniel Stone;Olivier Fourdan;Alan Coopersmith;Kaleb Keithley;
1688,2003-11-14 15:54:54,2004-12-13 02:13:32,Roland Mainz,Kaleb Keithley;
26581,2006-03-12 00:11:34,2010-04-09 10:58:48,Kristian Høgsberg,George Sapountzis;Kristian Høgsberg;
52289,2006-02-16 07:17:31,2014-07-23 21:51:57,Daphne Pfister,Keith Packard;Jie Luo;Daniel Stone;Paulo Cesar Pereira de Andrade;James Cloos;
34510,2009-01-28 15:27:38,2011-02-21 15:32:57,Peter Hutterer,Peter Hutterer;Chase Douglas;Mikhail Gusarov;
84653,2012-06-26 10:00:21,2014-10-06 10:02:22,Chris Wilson,Dave Airlie;
38313,2003-11-14 16:49:22,2012-02-22 15:32:56,Peter Hutterer,Peter Hutterer;Kaleb Keithley;
13037,2007-08-01 01:10:50,2008-05-08 16:58:31,Peter Hutterer,Sascha Hlusiak;Peter Hutterer;Daniel Stone;
3740,2003-12-19 20:55:39,2005-07-09 16:51:58,Alan Coopersmith,Alan Coopersmith;Kaleb Keithley;
47266,2009-12-29 12:51:30,2012-10-29 12:57:54,Michel Dänzer,Thomas Hellstrom;
10560,2003-11-14 15:54:54,2007-04-09 14:33:15,Stefan Huehner,Keith Packard;Daniel Stone;Eamon Walsh;Eric Anholt;Alan Coopersmith;Kaleb Keithley;
14004,2007-11-05 14:18:22,2008-04-09 13:37:59,Michel Dänzer,Daniel Stone;
4715,2005-07-01 20:29:53,2005-12-12 03:06:18,Alan Coopersmith,Kevin E Martin;Daniel Stone;Alan Coopersmith;
